UNIVERSE,MONTH,YEAR,AGE,TOT_POP,TOT_MALE,TOT_FEMALE,WA_MALE,WA_FEMALE,BA_MALE,BA_FEMALE,IA_MALE,IA_FEMALE,AA_MALE,AA_FEMALE,NA_MALE,NA_FEMALE,TOM_MALE,TOM_FEMALE,WAC_MALE,WAC_FEMALE,BAC_MALE,BAC_FEMALE,IAC_MALE,IAC_FEMALE,AAC_MALE,AAC_FEMALE,NAC_MALE,NAC_FEMALE,NH_MALE,NH_FEMALE,NHWA_MALE,NHWA_FEMALE,NHBA_MALE,NHBA_FEMALE,NHIA_MALE,NHIA_FEMALE,NHAA_MALE,NHAA_FEMALE,NHNA_MALE,NHNA_FEMALE,NHTOM_MALE,NHTOM_FEMALE,NHWAC_MALE,NHWAC_FEMALE,NHBAC_MALE,NHBAC_FEMALE,NHIAC_MALE,NHIAC_FEMALE,NHAAC_MALE,NHAAC_FEMALE,NHNAC_MALE,NHNAC_FEMALE,H_MALE,H_FEMALE,HWA_MALE,HWA_FEMALE,HBA_MALE,HBA_FEMALE,HIA_MALE,HIA_FEMALE,HAA_MALE,HAA_FEMALE,HNA_MALE,HNA_FEMALE,HTOM_MALE,HTOM_FEMALE,HWAC_MALE,HWAC_FEMALE,HBAC_MALE,HBAC_FEMALE,HIAC_MALE,HIAC_FEMALE,HAAC_MALE,HAAC_FEMALE,HNAC_MALE,HNAC_FEMALE
R,7,2025,19,4516083,2313130,2202953,1666202,1578565,341672,333669,41062,37460,140044,134995,7202,6987,116948,111277,1773502,1680606,403080,392655,65906,60798,183208,175768,15564,14927,1695928,1620680,1139232,1079697,308467,301821,18263,17780,133445,128933,4908,4829,91613,87620,1223517,1160284,357211,349065,33733,32453,169551,162971,11079,10664,617202,582273,526970,498868,33205,31848,22799,19680,6599,6062,2294,2158,25335,23657,549985,520322,45869,43590,32173,28345,13657,12797,4485,4263
R,7,2025,20,4487438,2297846,2189592,1657572,1569815,335572,326522,40915,37102,144766,141935,7366,7092,111655,107126,1759735,1667660,393322,382535,65242,60041,186410,181525,15382,14752,1692570,1621493,1140211,1082043,303327,295929,18038,17631,138475,136027,5061,5101,87458,84762,1220481,1159653,349088,340831,33177,32149,173419,169417,10988,10846,605276,568099,517361,487772,32245,30593,22877,19471,6291,5908,2305,1991,24197,22364,539254,508007,44234,41704,32065,27892,12991,12108,4394,3906
R,7,2025,21,4517077,2310346,2206731,1673288,1586156,332700,326317,40197,36478,148911,146568,7220,6901,108030,104311,1772191,1681553,387765,380243,64003,59317,189503,185362,15079,14473,1715896,1645115,1163794,1102728,301338,296680,17947,17423,142762,140795,5082,4989,84973,82500,1241824,1178342,345127,339792,33004,32213,176919,173489,10949,10603,594450,561616,509494,483428,31362,29637,22250,19055,6149,5773,2138,1912,23057,21811,530367,503211,42638,40451,30999,27104,12584,11873,4130,3870
R,7,2025,22,4483123,2291177,2191946,1660734,1575079,328282,324216,39332,35935,152834,150275,7118,6854,102877,99587,1754600,1666052,380443,374959,62684,58538,191351,187402,14805,14054,1707808,1638337,1159736,1097765,297332,295470,17592,17060,146925,144525,5064,4993,81159,78524,1233975,1169713,338908,335838,32492,31637,179434,175752,10813,10445,583369,553609,500998,477314,30950,28746,21740,18875,5909,5750,2054,1861,21718,21063,520625,496339,41535,39121,30192,26901,11917,11650,3992,3609
R,7,2025,23,4470856,2282650,2188206,1649979,1568569,331806,327852,38592,35858,156412,152547,6814,6630,99047,96750,1740323,1656529,381717,377440,61718,58676,193261,187927,14167,13812,1708161,1643003,1155716,1098493,301327,299185,17721,17192,150626,147023,4924,4765,77847,76345,1226889,1168120,341077,338695,32385,31998,181597,176787,10493,10206,574489,545203,494263,470076,30479,28667,20871,18666,5786,5524,1890,1865,21200,20405,513434,488409,40640,38745,29333,26678,11664,11140,3674,3606
R,7,2025,24,4560693,2327314,2233379,1675537,1596724,339714,335304,38332,36436,168067,162859,6694,6639,98970,95417,1765485,1683476,389332,383580,62018,59056,204944,198115,14090,13857,1753643,1687603,1181452,1125533,309453,306926,17917,17554,162217,157421,4916,4638,77688,75531,1252124,1194362,348755,345569,33162,32369,193341,187267,10478,10104,573671,545776,494085,471191,30261,28378,20415,18882,5850,5438,1778,2001,21282,19886,513361,489114,40577,38011,28856,26687,11603,10848,3612,3753
R,7,2025,25,4570874,2329982,2240892,1675610,1597662,344294,340346,38905,36693,168373,165960,6847,6518,95953,93713,1762902,1682440,392337,388048,62742,59652,203359,200126,14019,13588,1762186,1699812,1185967,1130774,314757,311980,18366,17784,162600,160475,5034,4588,75462,74211,1254696,1198020,352873,350085,33797,32972,192233,189320,10497,9955,567796,541080,489643,466888,29537,28366,20539,18909,5773,5485,1813,1930,20491,19502,508206,484420,39464,37963,28945,26680,11126,10806,3522,3633
R,7,2025,26,4504466,2290511,2213955,1651151,1580373,336372,334018,37654,35970,164936,166347,6798,6386,93600,90861,1736086,1662574,382838,379841,61113,58829,199116,199234,14181,13333,1739219,1684837,1175621,1123606,307711,306477,17969,17573,159226,160791,4950,4511,73742,71879,1242617,1188697,344666,343169,33419,32846,188093,188449,10590,9832,551292,529118,475530,456767,28661,27541,19685,18397,5710,5556,1848,1875,19858,18982,493469,473877,38172,36672,27694,25983,11023,10785,3591,3501
R,7,2025,27,4495320,2280039,2215281,1642479,1574808,336980,336168,37132,35687,166322,173658,6691,6471,90435,88489,1724272,1654936,381520,380334,60274,58290,199215,205561,13666,13166,1736453,1693891,1172638,1123856,309193,309464,17721,17727,160778,168109,4911,4626,71212,70109,1237095,1187423,344609,344702,32943,32904,188599,195156,10288,9772,543586,521390,469841,450952,27787,26704,19411,17960,5544,5549,1780,1845,19223,18380,487177,467513,36911,35632,27331,25386,10616,10405,3378,3394
R,7,2025,28,4503099,2277389,2225710,1640958,1580085,335468,336718,36633,34799,169822,181098,6577,6343,87931,86667,1720496,1658192,378006,379373,59831,57786,202091,212402,13449,13113,1737827,1708371,1174421,1132053,307938,310672,17569,17333,164345,175580,4787,4639,68767,68094,1236715,1193409,341320,344412,32788,32630,191615,202048,10041,9833,539562,517339,466537,448032,27530,26046,19064,17466,5477,5518,1790,1704,19164,18573,483781,464783,36686,34961,27043,25156,10476,10354,3408,3280
R,7,2025,29,4530778,2292104,2238674,1652472,1587775,335478,338297,36565,34361,174625,187703,6657,6491,86307,84047,1730398,1663475,376538,378942,59959,57255,206430,218431,13490,13218,1755412,1723302,1187831,1140681,308249,312379,17662,17227,169260,182165,4831,4750,67579,66100,1248871,1200236,340487,344465,33073,32515,196259,208180,10119,10008,536692,515372,464641,447094,27229,25918,18903,17134,5365,5538,1826,1741,18728,17947,481527,463239,36051,34477,26886,24740,10171,10251,3371,3210
R,7,2025,30,4603825,2328687,2275138,1671923,1607682,351068,352738,36892,35017,177540,190812,6858,6749,84406,82140,1747603,1681141,390576,392332,60569,57899,208793,220757,13897,13549,1789516,1758532,1204879,1159542,323401,326312,18104,17636,172021,185309,5014,4966,66097,64767,1264049,1217461,354315,357565,33973,33216,198632,210697,10448,10294,539171,516606,467044,448140,27667,26426,18788,17381,5519,5503,1844,1783,18309,17373,483554,463680,36261,34767,26596,24683,10161,10060,3449,3255
R,7,2025,31,4691923,2375388,2316535,1698160,1630101,367888,368303,37384,35916,183053,194294,6956,6874,81947,81047,1771256,1702271,405294,406571,61138,59335,213777,223944,14069,13746,1831469,1798125,1225973,1180325,339898,341646,18695,18303,177714,188749,5148,5094,64041,64008,1282988,1237265,369046,371879,34670,34446,203820,213936,10681,10447,543919,518410,472187,449776,27990,26657,18689,17613,5339,5545,1808,1780,17906,17039,488268,465006,36248,34692,26468,24889,9957,10008,3388,3299
